artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,duration_minutes
jennifer lopez,love don't cost a thing,221226,FALSE,2001,67,80.61538462,84.28428428,4,-5.115,0,12.27430556,0.341545353,3.54E-06,55.45134818,70.4008222,97.577,hip hop,3.6871
jamiroquai,little l,295400,FALSE,2001,65,90.05128205,72.47247247,10,-5.373,0,22.39583333,18.81298992,0.0116,15.59202814,92.90853032,121.906,pop,4.923333333
case,missing you,284666,FALSE,2001,55,62.76923077,57.95795796,1,-6.417,0,9.600694444,31.91489362,0,6.518171161,73.58684481,86.31,hip hop,4.744433333
five,let's dance - radio edit,218626,FALSE,2001,47,64.71794872,82.18218218,4,-7.853,0,15.05208333,0.980963046,0.000247,34.34935522,56.21788284,118.007,pop,3.643766667
rui da silva,touch me (radio edit) [feat. cassandra],213133,FALSE,2001,54,47.58974359,92.29229229,0,-8.399,1,11.07638889,13.88577828,0.227,6.400937866,71.42857143,129.078,Dance/Electronic,3.552216667
alien ant farm,smooth criminal,209266,FALSE,2001,75,66.97435897,96.4964965,9,-4.261,0,10.10416667,0.353863382,0.00512,16.88159437,89.41418294,126.928,rock,3.487766667
erick sermon,music (feat. marvin gaye),223133,TRUE,2001,57,92,46.64664665,10,-9.053,0,35.24305556,20.9406495,1.35E-06,8.874560375,90.85303186,100.01,hip hop,3.718883333
d12,purple pills,304506,TRUE,2001,68,80,63.46346346,1,-5.941,1,27.77777778,2.228443449,2.98E-05,33.99765533,77.49229188,125.25,hip hop,5.0751
usher,pop ya collar - radio edit,210813,FALSE,2016,26,91.07692308,80.08008008,5,-3.944,0,16.42361111,10.08958567,2.12E-05,26.84642438,89.00308325,106.957,hip hop,3.51355
madonna,don't tell me,280973,FALSE,2000,53,71.69230769,61.86186186,7,-7.338,1,10.3125,5.62150056,0.000925,10.71512309,69.78417266,99.965,pop,4.682883333
blue,if you come back,207560,FALSE,2001,58,59.69230769,70.77077077,10,-4.487,1,5.538194444,9.204927212,0,5.474794842,72.04522097,78.375,pop,3.459333333
atomic kitten,eternal flame - single version,195506,FALSE,2001,58,59.28205128,58.15815816,0,-6.867,1,5.520833333,7.368421053,0.0042,7.901524033,41.93216855,83.293,pop,3.258433333
